Gene,Accession Number
HBG1/2,
HBG1/2,
m6A,
Histone H4,
UCP1/UCP3,
Histone H3,
PGC1α/β,
IGHA1/IGHA2,
Aif1,
HRAS/KRAS/KRAS,
STX1A/STX1B/STX2/STX3,
MAP2K3/MAP2K6,
IGLV1-51,
Ntrk2,
Ly6a,
Fadd,
m6A,
Nucleoprotein,
Spike S1,
CD3(epsilon+gamma)/CD3E+CD3G,
Digoxin,
Histone H3,
5-Methylcytosine,
Histone H3,
Biotin,
2'-O-Methylguanosine,
Pan-Symmetric Di-Methyl Arginine Motif,
FITC/5-FAM/6-FAM,
Icam2,
Pseudouridine,
Coenzyme NAD,
MERS-CoV Nucleoprotein,
Spike RBD,
SARS-CoV-2 Spike RBD (N501Y),
Il6,
Tet3,
INSR/IGF1R,
Il2,
Icam1,
Il1b,
Il4,
Il10,
Biotin,
Biotin,
MERS-CoV Nucleoprotein,
Spike RBD,
SARS-CoV-2 Spike RBD (N501Y),
5-methylcytidine,
m6A,
FITC/5-FAM/6-FAM,
Pan-Symmetric Di-Methyl Arginine Motif,
PIK3R1/PIK3R2,
HCoV-229E Spike S2,
HCoV-229E Spike S1,
HCoV-NL63 Spike S2,
EV71 3D,
HCoV-OC43 Spike S1,
Sqstm1,
HCoV-OC43 Spike S1,
Ifnb1,
IgG2a,
Il1a,
PIK3R1/PIK3R2/PIK3R3,
Sting1,
CAS9,
E8L,
Cd34,
mt-Atp6,
Ifng,
Il17a,
pan-Trk,
Kit,
Il1b,
Sarm1,
Immunoglobulin heavy constant alpha 1,
Cd80,
Adgre1,
LEFTY1/2,
Ngfr,
ACT12,
MOB1A/MOB1B,
PKC alpha + beta + gamma,
COL4A4/COL4A6/COL4A2/COL4A1,
IL-18,
Lcn2,
Tnf,
Nlrp3,
Csf3,
Il4,
Csf2,
VD,
Ythdc1,
NEP; SFE; CD10; CALLA; 6030454K05Rik,
B6R,
Ifnb1,
Yipf6,
IGHG2,
Il6ra,
Il1rl1,
Thpo,
Cyclin A1/A2,
NTRK1/NTRK2/NTRK3,
Ret,
JAM-A/CD321/F11R,
AKT1/AKT2,
3CLpro,
IL-33,
Il12b,
pan 14-3-3,
Orexin B/Hypocretin-2,
LH,
Icos/CD278,
A35R,
Nfkbia,
ENPP3/PDNP3/CD203c,
Il2rb,
Parp1,
Il23r,
Foxp3,
Pi16,
IGHG4,
Nrp1 ,
MEF2A+MEF2C,
Tgfb1,
GluR2+GluR3,
Histone H3,
MT-CO2,
MAPK1/MAPK3,
TUBB2A/TUBB2B,
RHOA/RHOB/RHOC,
MAPK8/MAPK9/MAPK10,
MAP2K1/MAP2K2,
SNCB/SNCA,
CDH1/CDH2/CDH3/CDH4,
Hsp90α/β,
STAT5A/STAT5B,
RAC1/RAC2/RAC3,
TEAD1/2/3/4,
RUNX1/2/3,
PPP2CA/PPP2CB,
MHC class I (HLA-A/B),
YWHAB/YWHAZ,
YWHAB/YWHAZ,
Il1b,
PIAS1/PIAS2,
RAP1A/RAP1B,
MT-ND1,
IgG isotype control,
DDDDK,
Myc,
GFP-Tag,
DDDDK,
Myc,
GFP,
GST,
ERK1/ERK2,
MAPK8/MAPK9/MAPK10,
MAPK1/MAPK3,
CDK1/CDK2,
CDC42/RAC1,
PAK4/PAK5/PAK6,
Histone H1-3,
CDK1/CDK2/CDK3,
PAK1/PAK2/PAK3,
Pan p-Y,
AKT,
AKT,
Trim24,
MAPK8/MAPK9/MAPK10,
GSK3A/GSK3B,
SMAD2/SMAD3,
Src Family,
PRKCA/PRKCB,
CAMK2,
ACACA/ACACB,
pan-Phospho-T,
PRKAA1/PRKAA2,
Rabbit Anti-Chicken,
Rabbit Anti-Chicken,
Monkey IgA,
Monkey IgD,
His,
DDDDK,
S-Tag,
DDDDK,
GST,
Myc,
GFP,
HA,
His,
V5,
mCherry,
PPP2CA/PPP2CB,
AKT1/2/3,
AKT1/2/3,
CDK1/2/3,
HSP90AA1/HSP90AB1,
SMAD1/5/9,
CAMK2A/2B/2G/2D,
JUN /JUND,
MAPK3/1,
MAPK3/1,
MAPK3/1,
TEAD1/2/3/4,
YWHAB/YWHAZ,
ATP5A1�/ATP5F1A,
CDH1/2/3/5/4,
GBA/GBA1,
CAMK2A/2B/2G/2D,
LEFTY1/LEFTY2,
OTX1/2,
MAP2K1/MAP2K2,
NRAS/HRAS/KRAS,
NRAS/HRAS/KRAS,
MAP2K3/ MAP2K6,
NRAS/HRAS/KRAS,
Ly6a,
PAK4/PAK5/PAK6,
RHOA/RHOB/RHOC,
PRKCB/PRKCA/PRKCG/PRKCE,
PIAS1/ PIAS2,
RAP1B/ RAP1A,
PTPN1/PTPN2,
SEC61A1/2,
MEF2C/ MEF2A,
PPP1CA/ PPP1CB,
PRKACG/PRKACA/PRKACB,
STAT5A/STAT5B,
VAV1/VAV2/ VAV3,
TUBA1B/TUBA4A,
MT-CO2,
HSPA1A/HSPA1B,
PAK1/PAK2/PAK3,
NTRK1/2,
PRKCA/PRKCB/PRKCD/PRKCE/PRKCH/PRKCQ,
Histone H3,
Icam1,
CGA/FSHB,
eIF4B,
RUNX1/RUNX3/ RUNX2,
GATA3/GATA2,
GARS/GARS1,
BUBR1,
AKR1C1/AKR1C2,
TCP,
GPRK6,
IGHA2,
IL-18,
Abhd6,
STAT5A/STAT5B,
Klf3,
Il6,
A1BG,NM_130786.4
NAT2,NM_000015.3
ADA,NM_000022.4
ADA,NM_001322050.2
ADA,NM_001322051.2
CDH2,NM_001308176.2
CDH2,NM_001792.5
AKT3,NM_001206729.2
AKT3,NM_001370074.1
AKT3,NM_005465.3
AKT3,NM_005465.7
AKT3,NM_181690.2
GAGE12F,NM_001098405.3
MED6,NM_001284209.2
MED6,NM_001284210.2
MED6,NM_001284211.2
MED6,NM_005466.4
NR2E3,NM_014249.4
NR2E3,NM_016346.3
NAALAD2,NM_001300930.2
NAALAD2,NM_005467.4
DUXB,NM_001351307.2
DUXB,NM_001351308.2
DUXB,NM_001351309.2
DDTL,NM_001084393.2
NAALADL1,NM_005468.3
SIGLEC14,NM_001098612.3
ACOT8,NM_005469.4
ABI1,NM_001012750.3
ABI1,NM_001012751.3
ABI1,NM_001012752.3
ABI1,NM_001178116.2
ABI1,NM_001178119.2
ABI1,NM_001178120.2
ABI1,NM_001178121.2
ABI1,NM_001178122.2
ABI1,NM_001178123.2
ABI1,NM_001178124.2
ABI1,NM_001178125.2
ABI1,NM_001348029.2
ABI1,NM_001348030.2
ABI1,NM_001348031.2
ABI1,NM_001348032.2
ABI1,NM_001348033.2
ABI1,NM_001348034.2
ABI1,NM_001410909.1
ABI1,NM_005470.4
GNPDA1,NM_005471.5
KCNE3,NM_005472.5
ZBTB33,NM_001184742.2
ZBTB33,NM_006777.4
CDH3,NM_001317195.3
CDH3,NM_001317196.2
CDH3,NM_001793.6
TANK,NM_001199135.3
TANK,NM_004180.3
TANK,NM_133484.2
POM121C,NM_001099415.3
SPDYE12,NM_001382555.2
ZSCAN30,NM_001112734.4
ZSCAN30,NM_001166012.3
ZSCAN30,NM_001288711.2
MCTS2,NM_001397496.1
SRA1,NM_001035235.4
SRA1,NM_001253764.2
TMEM170B,NM_001100829.3
ZGLP1,NM_001103167.1
ZGLP1,NM_001409033.1
GJE1,NM_001358410.2
MINAR2,NM_001257308.2
C8orf88,NM_001190972.2
C8orf88,NM_001363275.2
FAM229A,NM_001167676.2
TRAPPC3L,NM_001139444.3
CTAGE4,NM_198495.3
TEKTIP1,NM_001135580.2
OST4,NM_001134693.2
CIROP,NM_001354640.2
CIROP,NM_001402427.1
ZBTB42,NM_001137601.3
ZBTB42,NM_001370342.1
KDM4F,NM_001413755.1
KHDC1L,NM_001126063.3
DEFB131B,NM_001242853.1
CXorf51A,NM_001144064.3
SMIM27,NM_001349118.1
SMIM27,NM_001349119.2
SMIM27,NM_001387564.1
KPLCE,NM_001024679.3
TDRD15,NM_001306137.2
SMIM10L1,NM_001271592.2
FAM236A,NM_001348070.2
FAM236A,NM_001348071.2
MKRN2OS,NM_001195279.2
MKRN2OS,NM_001378007.1
MKRN2OS,NM_001378008.1
MKRN2OS,NM_001378009.1
MKRN2OS,NM_001378010.1
MKRN2OS,NM_001378011.1
ETDB,NM_001355519.1
TEX13C,NM_001195272.2
ZNF730,NM_001277403.2
FAM47E,NM_001136570.3
FAM47E,NM_001242936.1
TCF24,NM_001193502.2
IZUMO3,NM_001271706.1
IZUMO3,NM_001365008.2
CCDC152,NM_001134848.2
ZNF737,NM_001159293.2
TMEM269,NM_001354602.2
SPATA31F3,NM_001309426.2
SPATA31F3,NM_001309427.2
SPATA31F3,NM_001375894.1
HDAC6,NM_001321225.2
HDAC6,NM_001321226.2
HDAC6,NM_001321227.2
HDAC6,NM_001321228.2
HDAC6,NM_001321229.1
HDAC6,NM_001321230.2
HDAC6,NM_001321231.2
HDAC6,NM_006044.2
HDAC6,NM_006044.4
HSFX2,NM_001164415.3
CCDC166,NM_001162914.1
C8orf89,NM_001243237.3
C8orf89,NM_001391993.1
C8orf89,NM_001391994.1
C8orf89,NM_001391995.1
SUPT20HL1,NM_001136234.3
C17orf107,NM_001145536.2
TMEM262,NM_001242631.3
TMEM262,NM_001282448.2
CXorf49,NM_001145140.2
TMEM221,NM_001190844.2
CD300H,NM_001324073.3
CD300H,NM_001324076.3
CD300H,NM_001405511.1
PRR32,NM_001122716.2
SPMIP1,NM_001195150.3
LRRC70,NM_181506.5
LRRC69,NM_001129890.2
LRRC69,NM_001354470.2
EFCAB10,NM_001355526.2
EFCAB10,NM_001355527.2
EFCAB10,NM_001355529.2
EFCAB10,NM_001355530.2
EFCAB10,NM_001355531.2
SBK3,NM_001199824.2
TSTD3,NM_001195131.2
SMIM6,NM_001162997.2
SYCE1L,NM_001129979.3
SYCE1L,NM_001348924.2
SPMIP7,NM_001161834.3
ZNF316,NM_001278559.2
BSPH1,NM_001128326.2
TSTD1,NM_001113205.2
TSTD1,NM_001113206.2
TSTD1,NM_001113207.2
NEMP2,NM_001142645.2
ANKRD63,NM_001190479.3
DPEP2NB,NM_001282442.2
C11orf91,NM_001166692.2
SP9,NM_001145250.2
CD300LD,NM_001115152.2
PRR23D1,NM_001282479.1
ARMCX4,NM_001256155.3
PET100,NM_001171155.2
ZNF717,NM_001128223.3
ZNF717,NM_001290208.3
ZNF717,NM_001290209.3
ZNF717,NM_001290210.2
ZNF717,NM_001324026.2
ZNF717,NM_001324027.1
ZNF717,NM_001324028.1
INSYN2B,NM_001129891.3
INSYN2B,NM_001346304.2
KRTAP25-1,NM_001128598.1
ZNF705G,NM_001164457.3
TEX13D,NM_001355534.2
FOXO6,NM_001291281.3
FAM240A,NM_001195442.2
GOLGA6L25,NM_001365373.2
NPIPB5,NM_001135865.3
NPIPB5,NM_001395849.1
NPIPB5,NM_001395850.1
NPIPB5,NM_001395851.1
KIR2DS2,NM_001291695.1
